dataset,problem,file,lines,raw_nodes
all_py,1005,787480.py,16,397
all_py,1005,797858.py,22,710
all_py,1005,741180.py,26,764
all_py,1005,699984.py,38,849
all_py,1005,696208.py,46,1621
all_py,1006,149231.py,9,311
all_py,1006,687148.py,19,430
all_py,1006,682130.py,15,501
all_py,1006,147901.py,17,541
all_py,1006,143425.py,30,1022
all_py,1028,801230.py,26,444
all_py,1028,753801.py,14,479
all_py,1028,766791.py,22,523
all_py,1028,766100.py,21,620
all_py,1028,695584.py,37,704
all_py,1034,711820.py,23,524
all_py,1034,781465.py,29,594
all_py,1034,695714.py,45,796
all_py,1037,147491.py,12,561
all_py,1037,147512.py,13,596
all_py,1037,798713.py,22,707
all_py,1037,695711.py,36,813
all_py,1037,793058.py,53,1437
all_py,1039,685618.py,8,200
all_py,1039,744651.py,14,328
all_py,1039,757925.py,22,366
all_py,1039,802164.py,11,434
all_py,1039,755303.py,12,790
all_py,1046,681452.py,40,893
all_py,1046,746691.py,47,1148
all_py,1046,681701.py,57,1282
all_py,1046,756109.py,68,1411
all_py,1046,759546.py,77,1686
all_py,1047,696337.py,19,563
all_py,1047,720408.py,31,887
all_py,1047,695705.py,49,1257
all_py,1048,728722.py,22,510
all_py,1048,725902.py,27,511
all_py,1048,695709.py,26,577
all_py,1049,761808.py,38,1552
all_py,1050,695701.py,7,168
all_py,1050,759963.py,8,256
all_py,1050,696520.py,12,370
all_py,1050,141108.py,17,528
all_py,1050,141071.py,29,800
all_py,1051,145588.py,17,387
all_py,1051,686574.py,21,466
all_py,1051,749479.py,38,562
all_py,1051,749138.py,24,619
all_py,1051,738424.py,43,867
all_py,1052,739098.py,26,685
all_py,1053,739100.py,48,1024
all_py,1053,797086.py,41,1081
all_py,1053,793714.py,51,1336
all_py,1053,741906.py,53,1357
all_py,1053,782174.py,55,1470
all_py,1054,769506.py,69,1550
all_py,1054,761824.py,73,1617
all_py,1055,681443.py,48,1155
all_py,1055,681898.py,76,1493
all_py,1055,686605.py,66,1545
all_py,1055,686347.py,76,1774
all_py,1055,681842.py,60,1890
all_py,1060,741569.py,46,1560
all_py,1084,752866.py,11,417
all_py,1084,793062.py,19,604
all_py,1084,756614.py,26,738
all_py,1084,755358.py,25,875
all_py,1084,752694.py,44,1083
all_py,1085,727065.py,36,670
all_py,1085,723940.py,24,750
all_py,1085,781468.py,29,957
all_py,1085,727904.py,35,1022
all_py,1085,724988.py,54,1259
all_py,1087,697384.py,9,325
all_py,1087,797375.py,12,370
all_py,1087,797092.py,22,583
all_py,1087,784824.py,26,669
all_py,1088,144778.py,12,513
all_py,1088,144757.py,14,591
all_py,1088,144749.py,16,610
all_py,1088,145470.py,16,611
all_py,1088,144920.py,31,726
all_py,1092,713351.py,26,845
all_py,1092,763948.py,35,1029
all_py,1092,713348.py,40,1276
all_py,1093,780086.py,7,359
all_py,1093,723960.py,19,597
all_py,1093,780211.py,28,772
all_py,1093,780164.py,43,1344
all_py,1093,725226.py,79,1842
all_py,1118,753505.py,21,357
all_py,1118,756398.py,25,489
all_py,1118,756108.py,39,551
all_py,1118,754608.py,46,618
all_py,1118,758318.py,55,1173
all_py,1120,741497.py,62,1486
all_py,1123,753615.py,17,725
all_py,1123,752594.py,34,973
all_py,1123,752725.py,49,1122
all_py,1123,755811.py,55,1396
all_py,1123,756582.py,73,1714
all_py,1124,766346.py,10,273
all_py,1124,721042.py,9,290
all_py,1124,719681.py,22,468
all_py,1125,766348.py,8,240
all_py,1125,720817.py,16,461
all_py,1129,690585.py,43,1274
all_py,1129,692498.py,52,1394
all_py,1129,681662.py,56,1425
all_py,1129,686648.py,67,1650
all_py,1129,681837.py,48,1760
all_py,1140,762042.py,31,1091
all_py,1141,698129.py,33,1250
all_py,1141,703557.py,61,1651
all_py,1147,767192.py,22,444
all_py,1147,762214.py,21,636
all_py,1148,696430.py,14,403
all_py,1148,691327.py,24,516
all_py,1148,681902.py,28,582
all_py,1148,748848.py,29,685
all_py,1148,757411.py,48,1410
all_py,1149,793633.py,7,383
all_py,1149,793311.py,21,573
all_py,1149,793520.py,23,594
all_py,1149,793344.py,33,602
all_py,1149,793460.py,32,971
all_py,1150,762218.py,20,941
all_py,1178,144981.py,18,490
all_py,1191,145633.py,11,312
all_py,1191,145405.py,17,494
all_py,1191,146902.py,22,608
all_py,1191,144999.py,17,695
all_py,1191,698163.py,27,702
all_py,1192,714004.py,15,625
all_py,1195,762396.py,58,1841
all_py,1214,741489.py,55,1000
all_py,1215,712512.py,14,334
all_py,1215,766092.py,20,390
all_py,1215,789987.py,17,801
all_py,1216,755810.py,12,401
all_py,1216,704541.py,20,560
all_py,1216,753477.py,22,652
all_py,1216,755137.py,29,793
all_py,1216,755390.py,47,1012
all_py,1217,720399.py,37,1137
all_py,1218,784034.py,16,408
all_py,1218,783970.py,21,531
all_py,1218,784182.py,28,578
all_py,1218,784343.py,27,631
all_py,1218,784230.py,36,747
all_py,1219,797932.py,17,678
all_py,1219,798165.py,35,842
all_py,1219,771848.py,33,928
all_py,1219,762472.py,42,1332
all_py,1253,733064.py,16,482
all_py,1253,772779.py,22,615
all_py,1253,720535.py,21,638
all_py,1254,761613.py,20,452
all_py,1254,711324.py,21,592
all_py,1254,711303.py,22,616
all_py,1258,772784.py,12,276
all_py,1258,776266.py,13,356
all_py,1258,776838.py,16,414
all_py,1258,696137.py,12,432
all_py,1258,776760.py,39,559
all_py,1263,775057.py,12,359
all_py,1263,129499.py,15,410
all_py,1263,774768.py,22,453
all_py,1263,775084.py,26,502
