dataset,problem,file,lines,before,after
all_py,1264,712822.py,50,1086,50
all_py,1265,130245.py,4,182,7
all_py,1265,801929.py,7,236,10
all_py,1265,769058.py,7,266,10
all_py,1265,137835.py,8,331,9
all_py,1265,145327.py,18,539,20
all_py,1266,798794.py,9,320,14
all_py,1266,128994.py,9,374,12
all_py,1266,129414.py,14,430,20
all_py,1266,714774.py,23,546,29
all_py,1266,715442.py,24,762,31
all_py,1272,729458.py,33,642,53
all_py,1272,131235.py,29,937,64
all_py,1272,131028.py,30,1032,48
all_py,1273,145007.py,20,791,46
all_py,1274,145545.py,10,344,16
all_py,1274,737607.py,19,421,19
all_py,1274,765788.py,30,805,37
all_py,1275,131236.py,12,375,21
all_py,1275,141994.py,23,638,32
all_py,1275,142074.py,24,676,34
all_py,1275,711261.py,23,702,38
all_py,1275,146810.py,35,845,45
all_py,1276,721044.py,34,1036,49
all_py,1283,132459.py,6,165,8
all_py,1283,761592.py,12,230,12
all_py,1283,762204.py,9,311,16
all_py,1288,746931.py,39,961,52
all_py,1295,128505.py,19,403,27
all_py,1295,704338.py,16,467,27
all_py,1296,148315.py,4,182,6
all_py,1296,147662.py,9,290,13
all_py,1296,148303.py,9,316,13
all_py,1296,150056.py,7,389,12
all_py,1296,148354.py,21,612,29
all_py,1297,150140.py,2,100,3
all_py,1297,136328.py,6,172,8
all_py,1297,143281.py,7,185,8
all_py,1297,150053.py,5,257,8
all_py,1297,143748.py,13,440,19
all_py,1298,144006.py,5,157,7
all_py,1298,144068.py,11,217,9
all_py,1298,144036.py,9,304,15
all_py,1298,144460.py,12,389,16
all_py,1298,144392.py,26,735,44
all_py,1299,148316.py,7,304,10
all_py,1299,732217.py,11,404,14
all_py,1299,799042.py,12,441,17
all_py,1299,731401.py,13,494,19
all_py,1299,732768.py,29,782,29
all_py,1300,755626.py,8,210,12
all_py,1300,143882.py,8,291,13
all_py,1300,139900.py,13,326,16
all_py,1300,683504.py,20,392,24
all_py,1300,684790.py,29,670,34
all_py,1301,711292.py,27,785,40
all_py,1302,736211.py,38,822,50
all_py,1302,744473.py,42,892,66
all_py,1316,143928.py,9,358,12
all_py,1316,148523.py,11,426,15
all_py,1316,147914.py,13,497,17
all_py,1316,140284.py,33,691,33
all_py,1316,141556.py,33,1107,47
all_py,1319,724507.py,25,611,39
all_py,1319,738793.py,22,768,37
all_py,1319,147707.py,26,877,41
all_py,1320,732967.py,16,784,20
all_py,1320,773622.py,23,802,29
all_py,1320,713356.py,23,967,35
all_py,1320,798776.py,25,970,35
all_py,1321,790836.py,25,448,26
all_py,1321,790826.py,19,539,25
all_py,1321,790848.py,19,571,30
all_py,1321,714746.py,29,728,39
all_py,1321,791346.py,28,1100,41
all_py,1322,773621.py,25,481,45
all_py,1322,684729.py,20,611,27
all_py,1322,684690.py,18,677,28
all_py,1322,682091.py,27,797,35
all_py,1322,683371.py,52,1805,84
all_py,1324,686841.py,12,462,20
all_py,1324,681708.py,23,548,28
all_py,1324,684825.py,27,613,36
all_py,1324,684498.py,21,682,32
all_py,1324,684023.py,39,944,51
all_py,1325,745435.py,23,483,29
all_py,1325,745192.py,28,691,49
all_py,1325,745762.py,36,760,45
all_py,1325,744410.py,28,841,47
all_py,1325,746416.py,44,1185,69
all_py,1326,766034.py,39,1063,53
all_py,1327,683045.py,11,404,16
all_py,1327,682656.py,19,532,20
all_py,1327,684697.py,20,585,25
