dataset,problem,file,lines,before,after
all_py,1264,773728.py,4,538,6
all_py,1264,712830.py,14,859,21
all_py,1264,711848.py,29,1018,26
all_py,1264,773726.py,34,1256,31
all_py,1264,712822.py,50,1797,48
all_py,1265,130245.py,4,316,7
all_py,1265,801929.py,7,464,10
all_py,1265,769058.py,7,520,10
all_py,1265,137835.py,8,544,9
all_py,1265,145327.py,18,917,19
all_py,1266,798794.py,9,516,14
all_py,1266,128994.py,9,617,12
all_py,1266,129414.py,14,671,20
all_py,1266,714774.py,23,914,26
all_py,1266,715442.py,24,1240,29
all_py,1272,729458.py,33,1280,44
all_py,1272,131235.py,29,1562,56
all_py,1272,131028.py,30,1755,42
all_py,1273,145007.py,20,1457,39
all_py,1274,145545.py,10,585,16
all_py,1274,737607.py,19,688,18
all_py,1274,765788.py,30,1373,35
all_py,1275,131236.py,12,627,20
all_py,1275,141994.py,23,990,31
all_py,1275,142074.py,24,1028,33
all_py,1275,146764.py,35,1373,47
all_py,1275,142679.py,38,3343,56
all_py,1276,721044.py,34,1822,37
all_py,1283,132459.py,6,283,8
all_py,1283,761592.py,12,388,11
all_py,1283,762204.py,9,536,15
all_py,1288,746931.py,39,1811,43
all_py,1295,128505.py,19,689,23
all_py,1295,704338.py,16,804,23
all_py,1296,148315.py,4,306,6
all_py,1296,148325.py,8,488,11
all_py,1296,148303.py,9,495,13
all_py,1296,150056.py,7,685,12
all_py,1296,148354.py,21,970,29
all_py,1297,150140.py,2,170,3
all_py,1297,143358.py,5,273,8
all_py,1297,143281.py,7,297,8
all_py,1297,150053.py,5,445,8
all_py,1297,143748.py,13,713,19
all_py,1298,144006.py,5,249,7
all_py,1298,144068.py,11,345,9
all_py,1298,144036.py,9,517,12
all_py,1298,144460.py,12,654,15
all_py,1298,144392.py,26,1170,35
all_py,1299,148316.py,7,488,10
all_py,1299,732217.py,11,669,14
all_py,1299,799042.py,12,697,17
all_py,1299,731401.py,13,808,19
all_py,1299,732768.py,29,1259,28
all_py,1300,755626.py,8,350,10
all_py,1300,143882.py,8,485,12
all_py,1300,139900.py,13,542,15
all_py,1300,683504.py,20,633,21
all_py,1300,684790.py,29,1089,32
all_py,1301,711292.py,27,1238,37
all_py,1302,736211.py,38,1778,41
all_py,1302,744473.py,42,1727,52
all_py,1316,143928.py,9,606,12
all_py,1316,148523.py,11,704,15
all_py,1316,147914.py,13,802,17
all_py,1316,140284.py,33,1160,32
all_py,1316,141556.py,33,1897,45
all_py,1319,724507.py,25,1011,35
all_py,1319,738793.py,22,1289,30
all_py,1319,147707.py,26,1465,34
all_py,1320,732967.py,16,1347,20
all_py,1320,773622.py,23,1367,26
all_py,1320,713356.py,23,1658,32
all_py,1320,798776.py,25,1659,33
all_py,1321,790836.py,25,844,24
all_py,1321,790826.py,19,941,24
all_py,1321,790848.py,19,971,26
all_py,1321,714746.py,29,1262,36
all_py,1321,791346.py,28,1972,39
all_py,1322,773621.py,25,1239,34
all_py,1322,684729.py,20,990,24
all_py,1322,684690.py,18,1098,25
all_py,1322,682091.py,27,1288,32
all_py,1322,683371.py,52,3116,74
all_py,1324,686841.py,12,821,19
all_py,1324,682671.py,17,965,23
all_py,1324,684825.py,27,1073,31
all_py,1324,684498.py,21,1212,28
all_py,1324,684023.py,39,1589,46
all_py,1325,745435.py,23,858,24
all_py,1325,745192.py,28,1227,37
all_py,1325,745762.py,36,1335,38
all_py,1325,744410.py,28,1430,40
all_py,1325,746416.py,44,2025,56
all_py,1326,766034.py,39,1814,45
all_py,1327,683045.py,11,635,16
all_py,1327,682656.py,19,875,20
all_py,1327,684697.py,20,953,25
all_py,1327,683931.py,28,1078,30
all_py,1327,684615.py,39,1946,51
all_py,1335,712546.py,14,592,21
all_py,1335,765896.py,27,863,30
all_py,1335,696111.py,29,1024,35
all_py,1336,726527.py,16,595,22
